Data (ano/mês/dia),Distância entre a Terra e a Lua (em UA), Constelação que a Lua estará
2019/1/1, 0.002587478142231703, ('Lib' - 'Libra')
2019/1/2, 0.0026131418999284506, ('Lib' - 'Libra')
2019/1/3, 0.002636341145262122, ('Oph' - 'Ophiuchus')
2019/1/4, 0.0026570146437734365, ('Oph' - 'Ophiuchus')
2019/1/5, 0.0026751088444143534, ('Sgr' - 'Sagittarius')
2019/1/6, 0.002690437249839306, ('Sgr' - 'Sagittarius')
2019/1/7, 0.002702594269067049, ('Sgr' - 'Sagittarius')
2019/1/8, 0.002710936591029167, ('Cap' - 'Capricornus')
2019/1/9, 0.0027146281208842993, ('Cap' - 'Capricornus')
2019/1/10, 0.0027127403300255537, ('Aqr' - 'Aquarius')
2019/1/11, 0.0027043947484344244, ('Aqr' - 'Aquarius')
2019/1/12, 0.002688926411792636, ('Aqr' - 'Aquarius')
2019/1/13, 0.0026660566218197346, ('Cet' - 'Cetus')
2019/1/14, 0.002636055462062359, ('Psc' - 'Pisces')
2019/1/15, 0.002599879167973995, ('Cet' - 'Cetus')
2019/1/16, 0.0025592567399144173, ('Ari' - 'Aries')
2019/1/17, 0.0025166943669319153, ('Tau' - 'Taurus')
2019/1/18, 0.002475356450304389, ('Tau' - 'Taurus')
2019/1/19, 0.002438789000734687, ('Ori' - 'Orion')
2019/1/20, 0.002410473767668009, ('Gem' - 'Gemini')
2019/1/21, 0.002393268747255206, ('Gem' - 'Gemini')
2019/1/22, 0.0023888694122433662, ('Cnc' - 'Cancer')
2019/1/23, 0.00239746761508286, ('Leo' - 'Leo')
2019/1/24, 0.0024177420418709517, ('Leo' - 'Leo')
2019/1/25, 0.002447185106575489, ('Vir' - 'Virgo')
2019/1/26, 0.0024826403241604567, ('Vir' - 'Virgo')
2019/1/27, 0.002520867856219411, ('Vir' - 'Virgo')
2019/1/28, 0.00255898991599679, ('Lib' - 'Libra')
2019/1/29, 0.002594758290797472, ('Lib' - 'Libra')
2019/1/30, 0.002626644680276513, ('Sco' - 'Scorpius')
2019/1/31, 0.0026537971571087837, ('Oph' - 'Ophiuchus')
2019/2/1, 0.002675912342965603, ('Sgr' - 'Sagittarius')
2019/2/2, 0.002693061251193285, ('Sgr' - 'Sagittarius')
2019/2/3, 0.0027055058162659407, ('Sgr' - 'Sagittarius')
